Names,IDs,Time,Comments
RoyalFamily,1042367770648829952,Wed Sep 19 11:00:17 +0000 2018,‘I was deeply saddened to learn of the loss of life and the devastation caused by #TyphoonMangkhut. Prince Philip a… https://t.co/H7vvV70BO6
Greenpeace,1042639517109415936,Thu Sep 20 05:00:06 +0000 2018,"After #TyphoonMangkhut and #HurricaneFlorence hit different parts of the world at the same time, it's clear we can'… https://t.co/ghvRcrUeoo"
AkikoFujita,1041173341631991808,Sun Sep 16 03:54:03 +0000 2018,Buildings shaking in Hong Kong. Terrifying #TyphoonMangkhut https://t.co/80CpxloZEm
matsbooth,1042923167814041601,Thu Sep 20 23:47:14 +0000 2018,"RT @SCMPNews: Drone footage of Shek O, Hong Kong, shows the scale of destruction left behind by #TyphoonMangkhut https://t.co/5goq6Did1n"
matsbooth,1042922965153669120,Thu Sep 20 23:46:26 +0000 2018,RT @SCMPNews: #TyphoonMangkhut grounded this Chinese navy vessel in Hong Kong — but the sailors wouldn't say much about their mission. http…
matsbooth,1042921989550141440,Thu Sep 20 23:42:33 +0000 2018,"RT @SCMPNews: The famous steps on Duddell Street in Central, where #HongKong's last four gas lamps were, have been devastated by #TyphoonMa…"
FarrahUren,1042921038776958976,Thu Sep 20 23:38:46 +0000 2018,Non-uniform day @DCSG_Dulwich today as we are raising money to help families in the Philippines 🇵🇭 after… https://t.co/CJ4vZTlvfb
niknokseyer,1042918898461433857,Thu Sep 20 23:30:16 +0000 2018,RT @RoyalFamily: ‘I was deeply saddened to learn of the loss of life and the devastation caused by #TyphoonMangkhut. Prince Philip and I se…
TimesandTech,1042915581224214529,Thu Sep 20 23:17:05 +0000 2018,RT @TimesandTech: This is the scale of devastation unleashed by Typhoon Mangkhut. #climate #ClimateChange #disaster #Typhoon #TyphoonMangkh…
Xpghulu123,1042915286960103425,Thu Sep 20 23:15:55 +0000 2018,RT @SCMPNews: Hong Kong sewage treatment facility leaking waste into sea after #TyphoonMangkhut https://t.co/uBBNWVjRAF
TimesandTech,1042914868632932352,Thu Sep 20 23:14:15 +0000 2018,RT @TimesandTech: What makes this Typhoon more dangerous than previous ones? #Mangkhut #TyphoonMangkhut #storm #rain #Asia https://t.co/Toj…
ali_btsfan,1042914811275669504,Thu Sep 20 23:14:02 +0000 2018,RT @SCMPNews: Hong Kong sewage treatment facility leaking waste into sea after #TyphoonMangkhut https://t.co/uBBNWVjRAF
viequesbound,1042913656273612800,Thu Sep 20 23:09:26 +0000 2018,RT @IFRCAsiaPacific: Impossible is nothing. @philredcross brings help to remote communities by whatever means necessary after #TyphoonMangk…
KariIsomaa,1042912961394880513,Thu Sep 20 23:06:41 +0000 2018,RT @Federation: Ferocious #TyphoonMangkhut has left communities in north-east Philippines reeling.  This is what happened. https://t.co/vSy…
somesnowbird,1042908975136743424,Thu Sep 20 22:50:50 +0000 2018,"RT @Formula1_MotoGP: Class B Winner 🏆- Fernando #Alonso 🇪🇸 finishes in P7, 20s ahead of Sainz (P8) after starting from P11.🙌🏻👏🏻

More Point…"
pkinne,1042908821725667329,Thu Sep 20 22:50:14 +0000 2018,.@DigitalGlobe has activated its #opendata program for #TyphoonMangkhut. Details here: https://t.co/gAWBbbhUbK https://t.co/5i4CoVyt7M
SCMPNews,1042908768785375233,Thu Sep 20 22:50:01 +0000 2018,Hong Kong sewage treatment facility leaking waste into sea after #TyphoonMangkhut https://t.co/uBBNWVjRAF
AssHoleVersa,1042907122856615936,Thu Sep 20 22:43:29 +0000 2018,"RT @SABCNewsOnline: #SABCNews AM Headlines | Monday, 17 September 2018 
#StateCaptureInquiry #TyphoonMangkhut #schoolviolence https://t.co/…"
RutAbi_25,1042906466796089344,Thu Sep 20 22:40:52 +0000 2018,"RT @XHNews: Pelting rain and swamped roads in southern China, after super #TyphoonMangkhut makes landfall https://t.co/VRWomCNJ8a"
jaixom,1042906453311479809,Thu Sep 20 22:40:49 +0000 2018,We lost 4 trees on this side of the Plaza alone :-( #typhoonmangkhut #typhoonadtermath https://t.co/CoGNX5h5FY https://t.co/VMUcnDmFlQ
ernestma,1042904463055286272,Thu Sep 20 22:32:54 +0000 2018,RT @Federation: Ferocious #TyphoonMangkhut has left communities in north-east Philippines reeling.  This is what happened. https://t.co/vSy…
andycoller,1042903987765178369,Thu Sep 20 22:31:01 +0000 2018,"RT @BaptistWorldAid: We're responding to #TyphoonMangkhut through our local partners and Baptist Churches in Northern Luzon, but also as a…"
RHKYC,1042903920677289984,Thu Sep 20 22:30:45 +0000 2018,RT @SCMP_Sport: #TyphoonMangkhut: outriggers and rowers volunteer to tidy @RHKYC Yacht Club after boat house is battered by storm https://t…
IFRCAsiaPacific,1042903718708994050,Thu Sep 20 22:29:57 +0000 2018,RT @Federation: Ferocious #TyphoonMangkhut has left communities in north-east Philippines reeling.  This is what happened. https://t.co/vSy…
danieltissera,1042902310647721985,Thu Sep 20 22:24:21 +0000 2018,"RT @NASAEarth: Northern Luzon took a direct hit from #TyphoonOmpong, bringing disastrous winds and rainfall. https://t.co/IkAsY7fy6w #Mangk…"
RobbieColler,1042901344292495360,Thu Sep 20 22:20:31 +0000 2018,RT @RoyalFamily: ‘I was deeply saddened to learn of the loss of life and the devastation caused by #TyphoonMangkhut. Prince Philip and I se…
SunGoddessTarot,1042901057649750017,Thu Sep 20 22:19:22 +0000 2018,"Heading back to Singapore today.  Grateful for fab moments like the fun times with my regional colleagues, watching… https://t.co/ydenlaPoeZ"
LegalEaseNYC,1042897734892769280,Thu Sep 20 22:06:10 +0000 2018,Are you a foreign national negatively impacted by #HurricaneFlorence or #TyphoonMangkhut ? You may benefit from spe… https://t.co/6cypczKGAr
michalzi27,1042897704962088960,Thu Sep 20 22:06:03 +0000 2018,"RT @srbnews0: Whist most of the population of #HongKong were stuck indoors it is nice to see a couple of our canine friends 
#Mangkhut #Typ…"
Penelopepamstop,1042897193483608065,Thu Sep 20 22:04:01 +0000 2018,RT @RoyalFamily: ‘I was deeply saddened to learn of the loss of life and the devastation caused by #TyphoonMangkhut. Prince Philip and I se…
remitly,1042896430908694528,Thu Sep 20 22:00:59 +0000 2018,We’ll also apply one free transfer until September 28th for customers who have sent to affected areas in the Philip… https://t.co/eshuyHxUwc
Grvlisa,1042895113276542982,Thu Sep 20 21:55:45 +0000 2018,"RT @CGTNOfficial: ⚡️ “#TyphoonMangkhut rips through south China” by @CGTNOfficial

https://t.co/cQ4VStRziV"
Clara__Sesemann,1042893508984463360,Thu Sep 20 21:49:23 +0000 2018,"RT @SCMPNews: The famous steps on Duddell Street in Central, where #HongKong's last four gas lamps were, have been devastated by #TyphoonMa…"
Union__Jacks,1042892298575503360,Thu Sep 20 21:44:34 +0000 2018,"RT @iJenChen: Supporting the victims of #TyphoonMangkhut 
Thanks to 204 Neighbourhood Watch for organizing the donation drive last night an…"
evgenpriest,1042892035341119488,Thu Sep 20 21:43:31 +0000 2018,RT @AkikoFujita: Buildings shaking in Hong Kong. Terrifying #TyphoonMangkhut https://t.co/80CpxloZEm
iJenChen,1042891989430067201,Thu Sep 20 21:43:20 +0000 2018,"Supporting the victims of #TyphoonMangkhut 
Thanks to 204 Neighbourhood Watch for organizing the donation drive las… https://t.co/fDHC3LgmiB"
furiansa,1042891130038185984,Thu Sep 20 21:39:56 +0000 2018,"RT @aykimono: I think I'll stay in today.
#Hongkong #TyphoonMangkhut https://t.co/rBAn32T35L"
TheRealSLJay,1042890137317920770,Thu Sep 20 21:35:59 +0000 2018,RT @srbnews0: Woooow what f**k ??????#TyphoonMangkhut #SuperTyphoonMangkhut #Manghkut https://t.co/PSNgLFAX7d
WxExtreme,1042889737550192640,Thu Sep 20 21:34:24 +0000 2018,"It was such a busy day yesterday that we forgot this week's edition of #WeeklyWedsWx, so here's a quick look at the… https://t.co/VNxNgNZbSg"
Jerome_Yatess,1042887516230242305,Thu Sep 20 21:25:34 +0000 2018,"RT @Yubbie007: Holy Molly!!! #TyphoonMangkhut in Hong Kong is really deadly. 
https://t.co/VnQkMYk31L"
sunshine4sho70,1042880036796280832,Thu Sep 20 20:55:51 +0000 2018,"RT @Yubbie007: Holy Molly!!! #TyphoonMangkhut in Hong Kong is really deadly. 
https://t.co/VnQkMYk31L"
karitogot7,1042880029754109952,Thu Sep 20 20:55:49 +0000 2018,"RT @CGTNOfficial: ⚡️ “#TyphoonMangkhut rips through south China” by @CGTNOfficial

https://t.co/cQ4VStRziV"
Hombre_Alado_,1042876355812225024,Thu Sep 20 20:41:13 +0000 2018,"RT @anyidea: #SundayMorning #Biden with tears 😭 : I wish I had spoken out against #ProblemChild #Trump sooner but, #WeHaveToGoBack to when…"
BernardGuillot,1042872753953619968,Thu Sep 20 20:26:54 +0000 2018,"RT @MedairInt: #TyphoonMangkhut: Loading #emergency shelter kits. They will travel by boat to Bolos Point, an isolated area in the north of…"
r_carcamo,1042872487334305792,Thu Sep 20 20:25:51 +0000 2018,RT @Federation: Ferocious #TyphoonMangkhut has left communities in north-east Philippines reeling.  This is what happened. https://t.co/vSy…
dirk_van_e,1042867549900365824,Thu Sep 20 20:06:14 +0000 2018,"RT @CopernicusEU: #EUCopernicus4ASEAN benefits: ongoing @CopernicusEMS Rapid Mapping Activation following #TyphoonMangkhut 
Latest map reve…"
justcalma,1042867249378471937,Thu Sep 20 20:05:02 +0000 2018,"4/ Among those who lost their lives to #TyphoonMangkhut in the #Philippines: Beatrice Hope, 4 yrs old and Babyjane, 8. 💔"
Rosana_FVE,1042866134092054528,Thu Sep 20 20:00:36 +0000 2018,RT @VodafoneFdn: A team of 7 @VodafoneFdn #instantnetwork volunteers are supporting populations affected by #typhoonmangkhut and the rescue…
Rosana_FVE,1042866114936614914,Thu Sep 20 20:00:31 +0000 2018,"RT @VodafoneFdn: The #InstantNetwork team, which includes volunteers from @VodafoneHungary, @VodafoneZiggo and @VodafoneUK, is expected to…"
LegalEaseNYC,1042865440962347009,Thu Sep 20 19:57:51 +0000 2018,Are you a foreign national negatively impacted by #HurricaneFlorence or #TyphoonMangkhut ? You may benefit from spe… https://t.co/ajoRoRlrFR
justcalma,1042865215010996224,Thu Sep 20 19:56:57 +0000 2018,1/ The names of 21 people killed in landslide post #TyphoonMangkhut https://t.co/Ao8qaLExdc
am_Diplomatt,1042864786579570688,Thu Sep 20 19:55:15 +0000 2018,"RT @CGTNOfficial: ⚡️ “#TyphoonMangkhut rips through south China” by @CGTNOfficial

https://t.co/cQ4VStRziV"
ggonzzalezz,1042861463608668161,Thu Sep 20 19:42:03 +0000 2018,RT @NiliMajumder: @sundarpichai :Our thoughts are with those impacted by this month's catastrophic storms. @googleorg and Googlers are comm…
SueM45041565,1042857915684741120,Thu Sep 20 19:27:57 +0000 2018,"RT @Greenpeace: After #TyphoonMangkhut and #HurricaneFlorence hit different parts of the world at the same time, it's clear we can't stand…"
EDNAASCHENBROIC,1042857782817579009,Thu Sep 20 19:27:25 +0000 2018,"RT @worldnewsdotcom: Days After #TyphoonMangkhut, Another Major #Landslide Leaves 21 Dead In The #Philippines
https://t.co/7bmyRf60gj
#Cebu…"
preet_aggerwall,1042856983940882432,Thu Sep 20 19:24:14 +0000 2018,"RT @csa_asc: As part of @DisastersChart, #RADARSAT2 images were provided to assist relief efforts after #TyphoonMangkhut caused massive lan…"
joecole510,1042854754731417600,Thu Sep 20 19:15:23 +0000 2018,"RT @XHNews: Pelting rain and swamped roads in southern China, after super #TyphoonMangkhut makes landfall https://t.co/VRWomCNJ8a"
Robinso94336189,1042854556038647808,Thu Sep 20 19:14:36 +0000 2018,"RT @CGTNOfficial: ⚡️ “#TyphoonMangkhut rips through south China” by @CGTNOfficial

https://t.co/cQ4VStRziV"
LegindaryVinit,1042854488242106371,Thu Sep 20 19:14:19 +0000 2018,RT @nyaikae: The #TyphoonMangkhut isn’t playing.  Pray for #China https://t.co/rM2Ku67G6f
Gu_Molina,1042853760438071297,Thu Sep 20 19:11:26 +0000 2018,RT @Federation: Ferocious #TyphoonMangkhut has left communities in north-east Philippines reeling.  This is what happened. https://t.co/vSy…
nikos_xylouris,1042852614793322496,Thu Sep 20 19:06:53 +0000 2018,"RT @csa_asc: As part of @DisastersChart, #RADARSAT2 images were provided to assist relief efforts after #TyphoonMangkhut caused massive lan…"
IFRCAsiaPacific,1042852171782516736,Thu Sep 20 19:05:07 +0000 2018,Impossible is nothing. @philredcross brings help to remote communities by whatever means necessary after… https://t.co/30TgX1L6HM
shibuvalsalan,1042851933306925056,Thu Sep 20 19:04:10 +0000 2018,RT @sundarpichai: Our thoughts are with those impacted by this month's catastrophic storms. @googleorg and Googlers are committing $1M to #…
AchabalaSam,1042851831318278144,Thu Sep 20 19:03:46 +0000 2018,"RT @Natural_Crisis: Record evacuations cut #TyphoonMangkhut death toll, says UN https://t.co/cQt57tCJZr https://t.co/Z9uDMr69qX"
Natural_Crisis,1042851676317724677,Thu Sep 20 19:03:09 +0000 2018,"Record evacuations cut #TyphoonMangkhut death toll, says UN https://t.co/cQt57tCJZr https://t.co/Z9uDMr69qX"
joannelu,1042850405120536576,Thu Sep 20 18:58:06 +0000 2018,RT @sherrypace22: Two @Global_seedsave farmers lost their homes in #TyphoonMangkhut and there is an estimated $200 million of damages to ag…
Univgotmyback,1042849543241457669,Thu Sep 20 18:54:40 +0000 2018,RT @RoyalFamily: ‘I was deeply saddened to learn of the loss of life and the devastation caused by #TyphoonMangkhut. Prince Philip and I se…
sharbdb,1042845018971680768,Thu Sep 20 18:36:42 +0000 2018,RT @RoyalFamily: ‘I was deeply saddened to learn of the loss of life and the devastation caused by #TyphoonMangkhut. Prince Philip and I se…
PekkaReinikaine,1042843246488178688,Thu Sep 20 18:29:39 +0000 2018,RT @Federation: Ferocious #TyphoonMangkhut has left communities in north-east Philippines reeling.  This is what happened. https://t.co/vSy…
Rebecca23455434,1042842836515749888,Thu Sep 20 18:28:01 +0000 2018,RT @Federation: Ferocious #TyphoonMangkhut has left communities in north-east Philippines reeling.  This is what happened. https://t.co/vSy…
mpadevora,1042842440317759488,Thu Sep 20 18:26:27 +0000 2018,RT @Federation: Ferocious #TyphoonMangkhut has left communities in north-east Philippines reeling.  This is what happened. https://t.co/vSy…
greatNPtweets,1042842435251068928,Thu Sep 20 18:26:26 +0000 2018,RT @Rotary: .@ShelterBox is working with #Rotary members in the area to asses the situation and understand how to provide help as quickly a…
climatecosts,1042842118832701442,Thu Sep 20 18:25:10 +0000 2018,"A year after Harvey, devastation from #HurricaneFlorence and #TyphoonMangkhut is yet another reminder that… https://t.co/4ZCbzzSoY3"
codedtestament1,1042841675956203520,Thu Sep 20 18:23:25 +0000 2018,18 Killed In Landslide In The Philippines Following Typhoon Mangkhut #Newsnight #NewsToday phiines Newsonepk… https://t.co/HpRBa4UZLc
tearfundcanada,1042841227152941057,Thu Sep 20 18:21:38 +0000 2018,#TyphoonMangkhut caused extensive damage in the northern rural region of the Philippines. Please help us provide re… https://t.co/UAo26Pj7Qt
moez_battikh,1042840679003705347,Thu Sep 20 18:19:27 +0000 2018,RT @Federation: Ferocious #TyphoonMangkhut has left communities in north-east Philippines reeling.  This is what happened. https://t.co/vSy…
MDA_maxar,1042839314697084928,Thu Sep 20 18:14:02 +0000 2018,"RT @csa_asc: As part of @DisastersChart, #RADARSAT2 images were provided to assist relief efforts after #TyphoonMangkhut caused massive lan…"
richarddblewitt,1042838778572926976,Thu Sep 20 18:11:54 +0000 2018,RT @Federation: Ferocious #TyphoonMangkhut has left communities in north-east Philippines reeling.  This is what happened. https://t.co/vSy…
maryfrancesbr54,1042837216777523200,Thu Sep 20 18:05:42 +0000 2018,"RT @SCMPNews: #TyphoonMangkhut aftermath: Three in 10 Hong Kong workers would lose pay, bonus and holiday leave if they missed work because…"
ga_richardson,1042836764333813760,Thu Sep 20 18:03:54 +0000 2018,"RT @csa_asc: As part of @DisastersChart, #RADARSAT2 images were provided to assist relief efforts after #TyphoonMangkhut caused massive lan…"
Valya_Shapiro,1042835727351009280,Thu Sep 20 17:59:47 +0000 2018,RT @Federation: Ferocious #TyphoonMangkhut has left communities in north-east Philippines reeling.  This is what happened. https://t.co/vSy…
csa_asc,1042833962844999680,Thu Sep 20 17:52:46 +0000 2018,"As part of @DisastersChart, #RADARSAT2 images were provided to assist relief efforts after #TyphoonMangkhut caused… https://t.co/IkEbdLGRP6"
OxfamHexham,1042833641389350912,Thu Sep 20 17:51:29 +0000 2018,RT @oxfamgbpress: PRESS RELEASE: Oxfam delivers clean water to isolated families hit by #TyphoonMangkhut in the #Philippines https://t.co/a…
IRxCellent,1042833273964167168,Thu Sep 20 17:50:02 +0000 2018,"RT @EnviroEdgeNews: #Philippines - On the heals of #TyphoonMangkhut (#Ompong), a potential #cyclone #Paeng is expected this weekend and bri…"
fredUmayam,1042832267498930177,Thu Sep 20 17:46:02 +0000 2018,RT @RoyalFamily: ‘I was deeply saddened to learn of the loss of life and the devastation caused by #TyphoonMangkhut. Prince Philip and I se…
ChristianAidIrl,1042831485143863297,Thu Sep 20 17:42:55 +0000 2018,Our thoughts are with the people of Philippines. Join us in our prayers for their rebuild &amp; recovery after Typhoon… https://t.co/KgPFyRGDek
daniceraj,1042831243778379776,Thu Sep 20 17:41:58 +0000 2018,"RT @EnviroEdgeNews: #Philippines - On the heals of #TyphoonMangkhut (#Ompong), a potential #cyclone #Paeng is expected this weekend and bri…"
SCMPNews,1042830768203026433,Thu Sep 20 17:40:04 +0000 2018,"#TyphoonMangkhut aftermath: Three in 10 Hong Kong workers would lose pay, bonus and holiday leave if they missed wo… https://t.co/9P1jzxV4cc"
4Prina,1042830729074364417,Thu Sep 20 17:39:55 +0000 2018,RT @MedairInt: Photos of the damage caused by #TyphoonMangkhut on the northeastern coast of #Luzon Island. Our Global Emergency Response Te…
CampionPlatt,1042830541542891526,Thu Sep 20 17:39:10 +0000 2018,Nothing like returning back to the US safe from #typhoonmangkhut &amp; finding this photo in my feed. #Bookshelfie… https://t.co/i4HjEIzOzm
4Prina,1042830219617468416,Thu Sep 20 17:37:53 +0000 2018,"RT @TwitterMoments: At least 49 people are dead after #TyphoonMangkhut struck part of the Philippines, @AFP reports. https://t.co/dcCs0E9eph"
EnviroEdgeNews,1042830124369014784,Thu Sep 20 17:37:31 +0000 2018,"#Philippines - On the heals of #TyphoonMangkhut (#Ompong), a potential #cyclone #Paeng is expected this weekend and… https://t.co/ru6vKpQ603"
Ryan_Grosso,1042828233509486592,Thu Sep 20 17:30:00 +0000 2018,"The full effects of #HurricaneFlorence
and #TyphoonMangkhut have yet to be seen, but storms like these will only be… https://t.co/NRmlKRL2No"
JenniferChan7,1042828073975132160,Thu Sep 20 17:29:22 +0000 2018,"RT @mapaction: New #maps of situation in #Philippines following #Mangkhut now online: damaged buildings, affected &amp; displaced populations b…"
AquibJavaid2,1042827302885879809,Thu Sep 20 17:26:18 +0000 2018,"RT @CGTNOfficial: ⚡️ “#TyphoonMangkhut rips through south China” by @CGTNOfficial

https://t.co/cQ4VStRziV"
JenniferChan7,1042825570369921024,Thu Sep 20 17:19:25 +0000 2018,RT @humdata: #TyphoonMangkhut Priority Index (Estimated damage per municipality) https://t.co/SfHhvS4230 @510global @RodeKruis #Philippines…
debitford,1042825484029984768,Thu Sep 20 17:19:04 +0000 2018,"RT @DTM_IOM: #Philippines #TyphoonMangkhut made landfall in Baggao, Cagayan Sat, 15 Sept 2018. An est. 218,492 families are affected. 43,60…"
naghmanahmad,1042825454082777088,Thu Sep 20 17:18:57 +0000 2018,"RT @harbhajan_singh: My heart goes out to the ones affected in #HongKong, #Macau, #Tiwan and #Phillipines by the #TyphoonMangkhut. Been see…"
akeelchaudhry,1042824557965594631,Thu Sep 20 17:15:24 +0000 2018,RT @RoyalFamily: ‘I was deeply saddened to learn of the loss of life and the devastation caused by #TyphoonMangkhut. Prince Philip and I se…
MedairPress,1042824554496843782,Thu Sep 20 17:15:23 +0000 2018,"RT @MedairInt: #TyphoonMangkhut: Loading #emergency shelter kits. They will travel by boat to Bolos Point, an isolated area in the north of…"
